species,T_K,x_Ge,n,D_eff_mean_cm2_s,D_eff_sd_cm2_s,D_eff_se_cm2_s,rel_se_pct
Arsenic,1373.15,0.075,8,3.67766375e-14,7.779893215894044e-16,2.7506076249329477e-16,0.7479225431995918
Arsenic,1373.15,0.1,8,3.888852125e-14,8.226648900361631e-16,2.9085596119432816e-16,0.7479223993232403
Arsenic,1373.15,0.125,8,4.112159125e-14,8.699032127514864e-16,3.0755723035626996e-16,0.7479215200755879
Arsenic,1373.15,0.15,8,4.34827925e-14,9.198524442034943e-16,3.252169504936556e-16,0.7479210321960247
Arsenic,1373.15,0.175,8,4.597947625e-14,9.726686688096463e-16,3.438903057814965e-16,0.747921320181407
Arsenic,1373.15,0.2,8,4.861941e-14,1.028516760652377e-15,3.6363558801065844e-16,0.7479226671213379
Arsenic,1373.15,0.225,8,5.1410806250000004e-14,1.0875660662354198e-15,3.845126702117216e-16,0.7479218830802165
Arsenic,1373.15,0.25,8,5.436234625e-14,1.1500039787376826e-15,4.0658780587846275e-16,0.7479217398172228
Arsenic,1373.15,0.275,8,5.74832175e-14,1.2160240132820446e-15,4.29929412938707e-16,0.7479216224086743
Arsenic,1373.15,0.3,8,6.078311875e-14,1.285832733339288e-15,4.546105226079221e-16,0.7479223375781817
Arsenic,1373.15,0.325,8,6.42723225e-14,1.3596416692197156e-15,4.807059221445288e-16,0.7479205721008897
Arsenic,1373.15,0.35,8,6.796167875e-14,1.4376902910118134e-15,5.083002770102571e-16,0.7479218971033099
Arsenic,1373.15,0.375,8,7.1862655e-14,1.5202136901764828e-15,5.37476704588208e-16,0.7479221364535
Arsenic,1373.15,0.4,8,7.598738750000001e-14,1.6074681065643059e-15,5.683257993463602e-16,0.7479212248826954
Boron,1173.15,0.0,8,1.03345625e-15,2.186198129663197e-17,7.729377612510967e-18,0.747915319348155
Boron,1173.15,0.025,8,9.551579e-16,2.020579383380632e-17,7.143826919570888e-18,0.7479210421199352
Boron,1173.15,0.05,8,8.827897124999999e-16,1.8674904979940874e-17,6.602575974665308e-18,0.7479217169361054
Boron,1173.15,0.075,8,8.159027375e-16,1.725994599817223e-17,6.102312429110598e-18,0.7479215534695517
Boron,1173.15,0.1,8,7.540820375e-16,1.5952172751781468e-17,5.639944763721972e-18,0.747921908128195
Boron,1173.15,0.125,8,6.969439625e-16,1.474343703327372e-17,5.21259215211236e-18,0.7479212723809714
Boron,1173.15,0.15,8,6.44133925e-16,1.3626296714048374e-17,4.817623404481787e-18,0.7479226318473736
Boron,1173.15,0.175,8,5.9532425e-16,1.2593747727685008e-17,4.4525622093993715e-18,0.7479221969203123
Boron,1173.15,0.2,8,5.502119625e-16,1.1639401854653326e-17,4.115149990190322e-18,0.7479208506286016
Boron,1173.15,0.225,8,5.08517075e-16,1.0757388766364915e-17,3.80331127227831e-18,0.7479220382675076
Boron,1173.15,0.25,8,4.6998080000000005e-16,9.942167932167943e-18,3.5150871822656936e-18,0.7479214432303816
Boron,1173.15,0.275,8,4.343639625e-16,9.188717844483844e-18,3.2487023491221808e-18,0.7479217038227891
Boron,1173.15,0.3,8,4.014454375e-16,8.49236355572926e-18,3.00250392927883e-18,0.7479232913884668
Boron,1173.15,0.325,8,3.710208625e-16,7.848739600896344e-18,2.7749484977806007e-18,0.7479224966171816
Boron,1173.15,0.35,8,3.429013625e-16,7.253863208552583e-18,2.5646279322835694e-18,0.7479200180441304
Boron,1173.15,0.375,8,3.1691235000000003e-16,6.704100276057087e-18,2.3702573834772855e-18,0.7479220621970982
Boron,1173.15,0.4,8,2.928924875e-16,6.195946747773896e-18,2.1905979806108285e-18,0.747918800959628
Boron,1273.15,0.0,8,1.51979675e-14,3.2150507699834892e-16,1.136692100657178e-16,0.7479237606325834
Boron,1273.15,0.025,8,1.413602625e-14,2.9904063622273806e-16,1.0572683086171879e-16,0.7479246924977859
Boron,1273.15,0.05,8,1.314826e-14,2.7814314531498747e-16,9.833845209639147e-17,0.7479198927948753
Boron,1273.15,0.075,8,1.22294875e-14,2.587067345056394e-16,9.14666431537827e-17,0.7479188572193455
Boron,1273.15,0.1,8,1.137489125e-14,2.406298482517138e-16,8.507549872733836e-17,0.747923622806841
Boron,1273.15,0.125,8,1.05799925e-14,2.2381401212039545e-16,7.913020284744987e-17,0.7479230523788166
Boron,1273.15,0.15,8,9.840622625e-15,2.0817348951428355e-16,7.360044304940826e-17,0.7479246573527482
Boron,1273.15,0.175,8,9.152901e-15,1.9362422487311407e-16,6.845650120488397e-17,0.7479213552608508
Boron,1273.15,0.2,8,8.51322375e-15,1.8009239631505817e-16,6.367227733725641e-17,0.7479220470066514
Boron,1273.15,0.225,8,7.918235e-15,1.6750559057621252e-16,5.922216949154866e-17,0.74792134221261
Boron,1273.15,0.25,8,7.36481475e-15,1.557985139593074e-16,5.508309285970662e-17,0.7479223134527127
Boron,1273.15,0.275,8,6.85005925e-15,1.4490909508649102e-16,5.1233101895632e-17,0.7479220255741876
Boron,1273.15,0.3,8,6.371268125e-15,1.3478032522848585e-16,4.765204096979533e-17,0.7479208225881301
Boron,1273.15,0.325,8,5.92593e-15,1.2535963861512325e-16,4.432132527592431e-17,0.747921849834951
Boron,1273.15,0.35,8,5.511708625e-15,1.1659682384664268e-16,4.122320240338719e-17,0.7479205670707455
Boron,1273.15,0.375,8,5.12643025e-15,1.084467370657793e-16,3.834171158838353e-17,0.7479222327931513
Boron,1273.15,0.4,8,4.768073375e-15,1.008657615573964e-16,3.5661431993390184e-17,0.7479212081838019
Boron,1373.15,0.0,8,1.51088975e-13,3.196188918406239e-15,1.130023429079174e-15,0.7479191840961089
